category,subcategory,en,zh-tw,alt-en,alt-zh,note
規則,族裔,Dwarf,矮人,,,
規則,族裔,Hakaan,哈肯族,,,
規則,族裔,High Elves,高等精靈,,,
規則,族裔,Human,人類,,,
規則,族裔,Memonek,梅莫族,,,
規則,族裔,Orc,歐克,,,
規則,族裔,Polder,波德人,,,
規則,族裔,Revenant,還魂屍,,,
規則,族裔,Time Raider,時空獵手,,,
規則,族裔,Wode Elf,幻林精靈,,,
規則,移動動作,Advance,行進,,,
規則,移動動作,Disengage,撤離,,,
規則,移動動作,Ride,騎乘,,,
規則,術語,Ability,招式,,,
規則,術語,Ability Roll,招式檢定,,,
規則,術語,Adjacent,相鄰,,,
規則,術語,Ally,盟友,,,
規則,術語,Ancestry,族裔,,,
規則,術語,Area of Effect,效果區域,,,
規則,術語,Argument,論據,,,
規則,術語,Artifact,神器,,,
規則,術語,Aura,靈光,,,
規則,術語,Background,背景,,,
規則,術語,Bane,劣勢,,,
規則,術語,Bonus,加值,,,
規則,術語,Breakthrough,突破,,,
規則,術語,Burrow,掘地,,,
規則,術語,Burst,爆發,,,
規則,術語,Career,職業,,,
規則,術語,Ceiling,天花板,,,
規則,術語,Characteristics,屬性,,,
規則,術語,Class,範型,,,
規則,術語,Climb,攀爬,,,
規則,術語,Combat Round,戰鬥輪,,,
規則,術語,Complication,糾葛,,,
規則,術語,Concealment,遮蔽,,,
規則,術語,Condition,狀態,,,
規則,術語,Consequence,麻煩,,,
規則,術語,Consumable,消耗品,,,
規則,術語,Cover,掩護,,,
規則,術語,Crawl,爬行,,,
規則,術語,Creature,生物,,,
規則,術語,Critical Hit,暴擊,,,
規則,術語,Cube,立方,,,
規則,術語,Culture,文化,,,
規則,術語,Damage,傷害,,,
規則,術語,Damage Immunity,傷害免疫,,,
規則,術語,Damage Type,傷害類型,,,
規則,術語,Damage Weakness,傷害弱點,,,
規則,術語,Damaging Terrain,危險地形,,,
規則,術語,Difficult Terrain,困難地形,,,
規則,術語,Distance,射程/距離,,,
規則,術語,Double Bane,雙劣勢,,,
規則,術語,Double Edge,雙優勢,,,
規則,術語,Downtime Project,休整專案,,,
規則,術語,Dying,瀕死,,,
規則,術語,Echelon,境界,,,
規則,術語,Edge,優勢,,,
規則,術語,Enemy,敵人,,,
規則,術語,Enhancement,強化,,,
規則,術語,EoE,EoE,,,遭遇結束
規則,術語,EoT,EoT,,,回合結束
規則,術語,Experience,經驗值,,,
規則,術語,Experience (XP),經驗值,,,
規則,術語,Falling,墜落,,,
規則,術語,Flanking,夾擊,,,
規則,術語,Fly,飛行,,,
規則,術語,Follower,追隨者,,,
規則,術語,Forced Movement,強制移動,,,
規則,術語,Free Maneuver,免費機動動作,,,
規則,術語,Free Strike,基礎打擊,,,
規則,術語,Free Triggered Action,免費反應動作,,,
規則,術語,God,神祇,,,
規則,術語,Ground,地面,,,
規則,術語,Group Test,團隊考驗,,,
規則,術語,Guide,指南,,,
規則,術語,Hero Tokens,英雄幣,,,
規則,術語,Heroic Ability,英雄招式,,,
規則,術語,Heroic Resource,英雄資源,,,
規則,術語,High Ground,高地,,,
規則,術語,Hover,懸浮,,,
規則,術語,Humanoid,類人生物,,,
規則,術語,Implement,法器,,,
規則,術語,Interest,興趣,,,
規則,術語,Item Prerequisite,前置材料,,,
規則,術語,Jump,跳躍,,,
規則,術語,Kit,套裝,,,
規則,術語,Leveled Treasure,共鳴寶物,,,
規則,術語,Line,線形,,,
規則,術語,Line of Effect,效果線,,,
規則,術語,Main Action,主要動作,,,
規則,術語,Malice,惡意,,,
規則,術語,Maneuver,機動動作,,,
規則,術語,Manifold,衍界,,,
規則,術語,Melee,近戰,,,
規則,術語,Montage Test,蒙太奇考驗,,,
規則,術語,Motivation,動機,,,
規則,術語,Mounted Combat,騎乘戰鬥,,,
規則,術語,Move Action,移動動作,,,
規則,術語,Movement,移動,,,
規則,術語,Mundane,尋常,,,
規則,術語,Natural 19 or 20,天然 19/20,,,
規則,術語,Natural Roll,天然骰值,,,
規則,術語,Negotiation,談判,,,
規則,術語,Object,物體,,,
規則,術語,Opportunity Attack,藉機攻擊,,,
規則,術語,Opposed Power Roll,對抗檢定,,,
規則,術語,Patience,耐心,,,
規則,術語,Penalty,減值,,,
規則,術語,Perk,專長,,,
規則,術語,Pitfall,地雷,,,
規則,術語,Potency,效力,,,
規則,術語,Power Roll,檢定,,,
規則,術語,Project Event,專案事件,,,
規則,術語,Project Goal,專案目標,,,
規則,術語,Project Points,專案點數,,,
規則,術語,Project Roll,專案檢定,,,
規則,術語,Project Source,專案來源,,,
規則,術語,Pull,拉動,,,
規則,術語,Push,推動,,,
規則,術語,Ranged,遠程,,,
規則,術語,Reactive Test,被動考驗,,,
規則,術語,Recovery,復元力,,,
規則,術語,Recovery Value,復元值,,,
規則,術語,Renown,聲望,,,
規則,術語,Respite,休整,,,
規則,術語,Respite Activity,休整活動,,,
規則,術語,Reward,獎勵,,,
規則,術語,Rolled Damage,檢定傷害,,,
規則,術語,Saint,聖者,,,
規則,術語,Save Ends,豁免解除,,,
規則,術語,Saving Throw,豁免,,,
規則,術語,Shift,遁移,,,
規則,術語,Side,陣營,,,
規則,術語,Signature Ability,招牌招式,,,
規則,術語,Size,體型,,,
規則,術語,Skill,技能,,,
規則,術語,Slide,滑動,,,
規則,術語,Speed,速度,,,
規則,術語,Square,方格/格,,,
規則,術語,Stability,穩度,,,
規則,術語,Stamina,體力,,,
規則,術語,Strike,打擊,,,
規則,術語,Subclass,子範型,,,
規則,術語,Suffocating,窒息,,,
規則,術語,Supernatural,超常,,,
規則,術語,Surge,鬥志,,,
規則,術語,Surprised,奇襲,,,
規則,術語,Swim,游泳,,,
規則,術語,Target,目標,,,
規則,術語,Teleport,傳送,,,
規則,術語,Temporary Stamina,臨時體力,,,
規則,術語,Test,考驗,,,
規則,術語,Treasure,寶物,,,
規則,術語,Triggered Action,反應動作,,,
規則,術語,Trinket,飾品,,,
規則,術語,Turn,回合,,,
規則,術語,Unattended,無主,,,
規則,術語,Unattended Object,無主物體,,,
規則,術語,Underwater Combat,水下戰鬥,,,
規則,術語,Untyped Damage,無類傷害,,,
規則,術語,Vertical,垂直,,,
規則,術語,Victory,勝利值,,,
規則,術語,Walk,步行,,,
規則,術語,Wall,障壁,,,
規則,術語,Wealth,財富,,,
規則,術語,Winded,疲態,,,
規則,效力,Weak,弱,,,效力三階
規則,效力,Average,中,,,效力三階；已裁定不使用「普通」
規則,效力,Strong,強,,,效力三階
規則,傷害類型,Acid,強酸,,,
規則,傷害類型,Cold,寒冷,,,
規則,傷害類型,Corruption,腐朽,,,
規則,傷害類型,Fire,火焰,,,
規則,傷害類型,Holy,神聖,,,
規則,傷害類型,Lightning,閃電,,,
規則,傷害類型,Poison,劇毒,,,
規則,傷害類型,Psychic,心靈,,,
規則,傷害類型,Sonic,音波,,,
規則,範型,Censor,懲戒者,,,
規則,範型,Conduit,神導士,,,
規則,範型,Elementalist,元素師,,,
規則,範型,Fury,熾怒者,,,
規則,範型,Null,無念者,,,
規則,範型,Shadow,影舞者,,,
規則,範型,Tactician,戰術家,,,
規則,範型,Talent,異能者,,,
規則,範型,Troubadour,遊唱家,,,
規則,機動動作,Aid Attack,助攻,,,
規則,機動動作,Catch Breath,喘息,,,
規則,機動動作,Dig,鑽地,,,
規則,機動動作,Escape Grab,掙脫,,,
規則,機動動作,Grab,擒抱,,,
規則,機動動作,Hide,躲藏,,,
規則,機動動作,Knockback,擊退,,,
規則,機動動作,Search for Hidden Creatures,搜索隱藏生物,,,
規則,機動動作,Stand Up,起身,,,
規則,機動動作,Use Consumable,使用消耗品,,,
規則,屬性,Agility,敏捷,,,
規則,屬性,Intuition,直覺,,,
規則,屬性,Might,力量,,,
規則,屬性,Presence,氣場,,,
規則,屬性,Reason,理智,,,
角色,元素精通,Air,翔風,,,
角色,元素精通,Earth,磐土,,,
角色,元素精通,Fire,烈火,,,
角色,元素精通,Green,翠息,,,
角色,元素精通,Rot,枯蝕,,,
角色,元素精通,Void,虛冥,,,
角色,元素精通,Water,流水,,,
角色,英雄資源,Clarity,明晰,,,
角色,英雄資源,Discipline,紀律,,,
角色,英雄資源,Drama,張力,,,
角色,英雄資源,Essence,精髓,,,
角色,英雄資源,Ferocity,狠勁,,,
角色,英雄資源,Focus,專注,,,
角色,英雄資源,Insight,洞察,,,
角色,英雄資源,Piety,虔誠,,,
角色,英雄資源,Wrath,怒火,,,
角色,套裝,Cloak and Dagger,潛襲,,,
角色,族裔,Devil,魔鬼,,,
角色,族裔,Dragon Knight,龍騎士,,,
角色,族裔,Dwarf,矮人,,,
角色,族裔,Hakaan,哈肯人,,,
角色,族裔,High Elves,高等精靈,,,
角色,族裔,Human,人類,,,
角色,族裔,Memonek,梅莫人,,,
角色,族裔,Orc,歐克,,,
角色,族裔,Polder,波德人,,,
角色,族裔,Revenant,還魂屍,,,
角色,族裔,Time Raider,時空獵手,,,
角色,族裔,Wode Elf,幻林精靈,,,
角色,異能者流派,Animapathy,御魂流,,,
角色,異能者流派,Chronopathy,御劫流,,,
角色,異能者流派,Cryokinesis,御霜流,,,
角色,異能者流派,Metamorphosis,蛻形流,,,
角色,異能者流派,Pyrokinesis,御焰流,,,
角色,異能者流派,Resopathy,御質流,,,
角色,異能者流派,Telekinesis,念動流,,,
角色,異能者流派,Telepathy,傳心流,,,
角色,術語,Strained,焦慮,,,
角色,無念者流派,Chronokinetic,掌宙流,,,
角色,無念者流派,Cryokinetic,冽脈流,,,
角色,無念者流派,Metakinetic,化勁流,,,
角色,範型,Beastheart,獸魂師,,,
角色,範型,Censor,懲戒者,,,
角色,範型,Conduit,神導士,,,
角色,範型,Elementalist,元素師,,,
角色,範型,Fury,熾怒者,,,
角色,範型,Null,無念者,,,
角色,範型,Operator,機甲師,,,
角色,範型,Shadow,影舞者,,,
角色,範型,Tactician,戰術家,,,
角色,範型,Talent,異能者,,,
角色,範型,Troubadour,遊唱家,,,
世界觀,,Timescape,時界,,,
世界觀,,Orden,歐爾登,,,
世界觀,,Primordial Chaos,原初混沌,,,
世界觀,,Substance of Creation,創生源質,,,
世界觀,,Wode,幻林,,,
世界觀,,Caelian Empire,凱利安帝國,,,
世界觀,,Throne of Hell,地獄王座,,,
世界觀,,Age of Chaos,混沌時代,,,
世界觀,,Law of Time,時間法則,,,
世界觀,,Hawklord,鷹王,,,
世界觀,,Lilac Night,丁香之夜,,,
世界觀,,K.R.A.D.1 Fearless,K.R.A.D.1 無畏號,,,
世界觀,,Eleven Who Shall Not Be Named,禁名十一者,,,
世界觀,,Lord of Swords,萬劍之王,,,
世界觀,,Great Fire,大火災,,,
世界觀,,Velloparatha,維洛帕拉症,worldsickness,躍界病,
世界觀,,First Psychic War,第一次靈能大戰,,,
世界觀,,Starskimmer,星梭,,,
世界觀,,Body bank,軀體庫,,,
世界觀,,Anjali,安賈利語,,,使用者：魔鬼、大哥布林
世界觀,,Axiomatic,公理語,,,使用者：梅莫人
世界觀,,Caelian,凱利安語,,,使用者：歐爾登的居民
世界觀,,Filliaric,菲利亞語,,,使用者：昂蛙人
世界觀,,High Kuric,高庫里語,,,使用者：奪首巨人、巨人、歐格、醜魔
世界觀,,Hyrallic,赫拉語,,,使用者：高等精靈
世界觀,,Illyvric,伊利瑞語,,,使用者：暗影精靈
世界觀,,Kalliak,卡力語,,,使用者：歐克
世界觀,,Kethaic,克薩語,,,使用者：狗頭人
世界觀,,Khelt,克特語,,,使用者：熊哥布林、妖精
世界觀,,Khoursirian,科爾瑟語,,,使用者：波德人、人類
世界觀,,Low Kuric,低庫里語,,,使用者：元素生物
世界觀,,Mindspeech,心靈語,,,使用者：心語者
世界觀,,Proto-Ctholl,原墮語,,,使用者：低等惡魔
世界觀,,Szetch,澤奇語,,,使用者：哥布林、齧裔
世界觀,,The First Language,太古語,,,使用者：古龍
世界觀,,Tholl,墮語,,,使用者：高等惡魔、鬣狗人
世界觀,,Urollialic,巫羅語,,,使用者：遠古蠕獸
世界觀,,Variac,華里亞語,,,使用者：地精、遠古蠕獸、醜魔、心語者
世界觀,,Vastariax,華斯塔里亞語,,,使用者：龍、龍騎士
世界觀,,Vhoric,沃里克語,,,使用者：哈肯族
世界觀,,Voll,沃爾語,,,使用者：時空獵手
世界觀,,Yllyric,伊林語,,,使用者：幻林精靈
世界觀,,Za’hariax,札哈里亞語,,,使用者：腦魔
世界觀,,Zaliac,札力語,,,使用者：矮人
世界觀,,Uvalic,烏華利語,,,
世界觀,,Higaran,希伽拉語,,,
世界觀,,Oaxuatl,瓦蘇奧語,,,
世界觀,,Khemharic,克姆哈拉語,,,
世界觀,,Phaedran,斐德羅語,,,
世界觀,,Riojan,里歐哈語,,,
世界觀,,Vaniric,華尼伽語,,,
世界觀,,Vaslorian,華斯洛里亞語,,,
世界觀,,Ananjali,阿納賈利語,,,使用者：古代大哥布林
世界觀,,High Rhyvian,高瑞維亞語,,,使用者：太陽精靈
世界觀,,Khamish,卡米希語,,,使用者：獸王
世界觀,,Kheltivari,克提華里語,,,使用者：古老妖精
世界觀,,Low Rhyvian,低瑞維亞語,,,使用者：天空精靈
世界觀,,Old Variac,古華里亞語,,,使用者：遠古蠕獸、心語者
世界觀,,Phorialtic,佛里奧語,,,使用者：古代元素生物
世界觀,,Rallarian,拉拉里安語,,,使用者：鐵矮人
世界觀,,Ullorvic,烏洛維克語,,,使用者：星辰精靈
世界觀,,Vigbordh,威格博德,wartable,戰爭之桌,
世界觀,,Army of Night,黑夜軍團,,,
世界觀,,Codex Pax,太平法典,,,
世界觀,,Helriath Harriers,赫里亞斯獵兵團,,,
世界觀,,The Conversations,對話錄,,,
世界觀,,Order of Fabrication,機造教團,,,
世界觀,,Battle of Dur Mothe,杜爾·莫特,,,
世界觀,,Grivllyfyr,古黎菲爾,,,
世界觀,,Dreamleaf,夢葉,,,
地名,,Vasloria,華斯洛里亞,,,音譯規則：ra re ri ro ru → 拉瑞里羅魯
地名,,Koursir,科爾瑟,,,音譯規則：la le li lo lu → 拉勒利洛盧
地名,,Aendrim,安德領,,,
地名,,Corwell,克威爾,,,
地名,,Tull,圖爾,,,
地名,,Farrow,法羅,,,
地名,,Graid,格萊德,,,
地名,,Sednia,塞德尼亞,,,
地名,,Olvaria,奧瓦里亞,,,
地名,,Sărda,沙爾達,,,
地名,,Rhöl,羅爾,,,
地名,,Glauer,格勞爾,,,
地名,,Great Wode,大幻林,,,
地名,,Omund’s Land,歐蒙大陸,,,
地名,,Chrysopolis,金輝城,,,
地名,,Irranys,伊蘭尼斯,,,
地名,,Orchid Court,蘭花王庭,,,
地名,,Kal Kalavar,卡爾·卡拉瓦,,,
地名,,Hanging City,懸吊城,,,
地名,,High Aerie,翔巢,,,
地名,,Capital,元城,,,
地名,,Bale Sea,貝爾海,,,
地名,,Rioja,里歐哈,,,
地名,,Kalas Valiar,華黎城,,,
地名,,Alloy,合金城,,,
地名,,Vanigar,華尼伽,,,
地名,,Or-Mazaar City of the Black Star,奧瑪薩玄星城,,,
地名,,Necropolitan Ruin,亡都遺跡,Last City,終焉之城,
地名,,Heliopolis,太陽城,,,
地名,,Tower of Translation,翻譯塔,,,
地名,,Dis,狄斯,,,
地名,,Higara,希伽拉,Higaran,所有格,
地名,,Khemhara,克姆哈拉,Khemharic,所有格,
地名,,Bedegar,貝德伽,,,
地名,,Tor,托爾,,,
地名,,Arcadia,阿卡迪亞,,,
地名,,Seven Cities of Hell,地獄七城,Throne of Hell,地獄王座,
地名,,Axiom,公理界,Plane of Uttermost Law,至律位面,
地名,,Proteus,無常界,Sea of Eternal Change；Plane of Uttermost Chaos,恆變之海；至沌位面,
地名,,World Below,玄冥界,Dark Under All,至深之暗,
地名,,Quintessence,極粹界,,,
地名,,Equinox,幽暮界,Dusk,黃昏界,
地名,,Abyssal Waste,深淵荒境,,,
地名,,Great Tet,大帳塔,,,
地名,,Blackbottom,黑淵城,,,
地名,,Sea of Stars,浩瀚星海,Sea Between Worlds,寰宇之海,
地名,,Phaedros,斐德羅,,,
地名,,Ix,伊蘇島,,,
地名,,The Gol,戈爾,,,
地名,,High City of Dalrath,道拉斯至高城,,,
地名,,Quercus Court,橡樹王庭,,,
地名,,Kas Koriar,卡斯·科里亞,,,
地名,,Kalas Mithral,祕銀城,,,
地名,,Oxor-myr,歐索米爾火山,,,
地名,,Myr,米爾山,,,
地名,,Astragalus Court,星骨王庭,,,
地名,,White Ravine,蒼白峽谷,,,
地名,,Gant,甘特,,,
生物,,Polder,波德人,,,
生物,,Sun Elf,日精靈,Solar Celestial,玄暉天靈,
生物,,Moon Elf,月精靈,Lunar Celestial,寒魄天靈,
生物,,Star Elf,星辰精靈,Astral Celestial,星曜天靈,
生物,,Sky Elf,天空精靈,Sylvan Celestial,幽木天靈,
生物,,Radenwight,齧裔,Ratfolk,鼠人,
生物,,Nymph,水妖,,,
生物,,Manticore,蠍獅,,,
生物,,Synliroi；Synlirii,心語者,Voiceless Talker,,
生物,,Steel Dwarf,鐵矮人,,,
生物,,Revenant,還魂屍,,,
生物,,Protean,萬化者,,,
生物,,Changeship,變形船,,,
生物,,Shadow Elf,暗影精靈,Twilight Celestial,暮光天族,
生物,,Troll,醜魔,,,
生物,,Bredbeddle,奪首巨人,,,
生物,,Overmind,腦魔,,,
生物,,Valok,華洛克,,,
生物,,Servok,勞洛克,,,
生物,,Multivok,多洛克,,,
生物,,Omnivok,寰洛克,,,
生物,,Kuran’zoi,庫蘭佐伊,Time Raider,,
生物,,Angulotl,昂蛙人,,,
生物,,Draconian,龍人,Wyrmwight,龍裔,
生物,,Styrich,棘髮魔,,,
生物,,Soulraker,奪魂蜂,,,
生物,,Chimeron,嵌合魔,,,
生物,,Lumbering Egress,裂界門獸,,,
生物,,Thrazz,拉茲犬,,,
生物,,Olothec,遠古蠕獸,,,
生物,,Derwic,樹人,,,
生物,,Lightbender,幻光獸,,,
生物,,Mindkiller,弒腦者,,,
生物,,Mohler,魔獠豬,,,
生物,,Arixx,惡銳螯,,,
生物,,Ceredyn,樹靈,,,
人名,,Omund,歐蒙,Good King,賢王,
人名,,Ajax,艾傑克斯,Invincible；Iron Saint；Overlord；Sky Tyrant,不敗者；鐵血聖者；至高霸主；天翔暴君,
人名,,Mortum,莫圖姆,,,
人名,,Alvaro,奧瓦羅,,,音譯規則：ra re ri ro ru → 拉瑞里羅魯
人名,,Prospero,普羅斯佩羅,,,音譯規則：la le li lo lu → 拉勒利洛盧
人名,,Vorona,沃羅納,,,
人名,,Marco Vorona,馬可·沃羅納,,,
人名,,Navarr,納瓦爾,,,
人名,,Orsino,歐希諾,,,
人名,,Valetta,華勒塔,,,
人名,,Lenore,蕾諾爾,,,
人名,,Maximo,麥希莫,,,
人名,,Shirome,希羅梅,,,
人名,,Inān al-Adwiyya,伊南·艾維亞,,,
人名,,Kashimir,卡希米爾,,,
人名,,Vitae,維泰,,,
人名,,Archduke Dispater,狄斯帕特大公,,,
人名,,Mandrake,曼德雷克,,,
人名,,Saxton,薩斯頓,,,
人名,,A Mist Curls Around Dying Embers,薄霧繚繞餘燼,,,
人名,,Dazar,達札爾,,,
人名,,Queen Imyrr,伊米爾女王,,,
人名,,Dryad,樹精,,,
人名,,Morning Dew on a Single Leaf Like a Tear from the Sun,如陽淚般落在單葉上的晨露,,,
人名,,Cthrion Uroniziir,克斯里昂·烏洛尼齊爾,,,
人名,,Vithyaranu,維提亞拉努,,,
人名,,Ardashir,亞達希爾,,,
人名,,Khorva,科瓦,,,
人名,,Jackson Bootblack,傑克森·黑靴,,,
人名,,Vaantikalisax,華恩提卡利薩斯,,,
人名,,Lady Filliamo,菲莉亞莫,,,
人名,,Taxiarch Lycaon,萊卡翁准將,,,
人名,,Vordokov,沃多科夫,,,
人名,,Cinis,辛尼絲,,,
人名,,Duke Melianus,梅利亞努斯,,,
組織,,Imperial University,帝國大學,,,
組織,,Dragon Phalanx,龍衛方陣,,,
組織,,Actian School,艾克提安學院,,,
組織,,Imperial Navy,帝國海軍,,,
組織,,Far Mariners,遠航水手,,,
組織,,Imperial War College,帝國戰爭學院,Academy,軍事學院,
組織,,Old Class Ring,老同學會,,,
組織,,Church of Saint Ysabella the Pitiless,無情聖女伊薩貝拉教會,,,
組織,,Arbitros Fiat,財政仲裁所,,,
組織,,Fulcrum,樞衡會,,,
組織,,Trade Integrity Board,貿易誠信委員會,,,
組織,,Font,智泉社,Broadsheets,元城報,
組織,,Paperfeathers,紙羽者,,,
組織,,Farrier’s Guild,鐵匠公會,Rasp,銼刀會,
組織,,Kites,風箏使者,,,
組織,,Universal Solar League,同星聯盟,UNISOL,,
組織,,Starslayers,屠星者,,,
組織,,Order of Desolation,荒滅教團,Illrigger,獄縛軍,
組織,,Clock,命刻幫,the clock is always ticking,時不我待,
組織,,Cult of Undoing,解構教,,,
神明,,Aan,安恩,,,
神明,,Eth,伊斯,,,
神明,,Kul,庫爾,,,
神明,,Ord,歐德,,,
神明,,Grole the One-Handed,獨臂葛羅爾,,,
神明,,Cavall,卡瓦爾,,,
神明,,Gwenllian the Fell-Handed,「獵魔聖女」關莉安,,,
神明,,A Lie Cloaked In Star’s Silver,披星戴銀的謊言,Queen of Night,黑夜女王,
神明,,Three Sisters Below,玄冥三姊妹,,,
神明,,Every Strike of Lightning a Lover Betrayed,每道閃電皆是背叛之戀,Queen of Shadows,暗影女王,
神明,,Khorsekef,科塞克夫,Infinite Pharaoh of Khemhara；Ultralich,克姆哈拉的無限法老；終極巫妖,
神明,,Elder God,上古諸神,,,
神明,,Val,華爾,,,
神明,,Zarok the Law-Giver,「賜法者」札羅克,,,
神明,,Gryffyn the Stout,「剛毅聖者」格萊芬,,,
神明,,Holkatya,霍卡提雅,,,
神明,,Adûn,艾杜恩,,,
神明,,Saint Elspeth the Blithe,「歡喜聖女」埃思佩斯,,,
神明,,Viras,薇拉斯,,,
神明,,Saint Llewellyn the Valiant,「英勇聖者」盧威凜,,,
神明,,Khorvath Who Slew A Thousand,「屠千者」科沃絲,,,
神明,,Sektahre the Boatman,「船夫」瑟克塔赫,,,
神明,,Nikros the Tyrant,「暴政之神」尼克羅斯,,,
神明,,Cyrvis the Lich,「巫妖之神」塞維斯,,,
神明,,A Sea of Suns,陽光之海,,,
神明,,Valak-koth the Seeker,「追尋者」華拉寇絲,,,
神明,,Morath of Many Tendrils,「萬鬚聖者」莫拉斯,,,
神明,,Khravila Who Ran Forty Leagues,「百哩跑者」卡拉維拉,,,
神明,,Saint Gwiddon the Vigilant,「警戒聖者」格威頓,,,
神明,,Halcyon the Moonmaiden,「月光少女」哈希恩,,,
神明,,Salorna the Summer Storm,「夏日風暴」莎洛娜,,,
神明,,Caswyn the Pestilent,「疫病聖者」卡斯溫,,,
神明,,Pentalion the Paladin,「威武聖者」潘塔利昂,,,
神明,,Eseld of the Eye,「獨眼聖女」埃絲德,,,
神明,,Nebular the Star Mother,星母涅布拉,,,
神明,,Quasax the Ultra Nova,「究極新星」夸薩克斯,,,
神明,,Mynoth the Way,「道路之神」邁諾斯,,,
神明,,Aurumvas,奧倫華斯,惡魔領主,,
物品,,Codex Mortis,死亡法典,,,
物品,,Iridoss,虹石,Prismacore,稜核,
物品,,Valiar,華黎金,Truemetal,真金,
物品,,Blade of Quintessence,極粹之刃,,,
物品,,Aerithyst,日光石,Sungem,,
物品,,Stone of Hyllc,赫利石,,,
物品,,Starmetal,星鐵,,,
物品,,Costmary Leaf,香菊葉,,,
冒險,,Solta,索塔村,,,
冒險,德利安古墓,Delian Tomb,德利安古墓,,,
冒險,德利安古墓,Broadhurst,寬林村,,,
冒險,德利安古墓,Dalrath,道拉斯,,,
冒險,德利安古墓,Silver Wood,白銀森林,,,
冒險,德利安古墓,Vasloria,華斯洛里亞,,,
冒險,德利安古墓,Orden,歐爾登,,,
冒險,德利安古墓,Castle Andreas,安德烈斯堡,,,
冒險,德利安古墓,Wend,溫德鎮,,,
冒險,德利安古墓,Arixx Nest,銳螯蟲巢穴,,,
冒險,德利安古墓,Fort Forsaken,遺世堡壘,,,
冒險,德利安古墓,Mage Tower,魔導師塔,,,
冒險,德利安古墓,Wof Den,狼穴,,,
冒險,德利安古墓,Cressan Tomb,克雷桑古墓,,,
冒險,德利安古墓,Granite Mountains,花崗山脈,,,
冒險,德利安古墓,Kal Kalavar,卡爾·卡拉瓦,,,
冒險,德利安古墓,Queen Bargnot,巴格諾女王,,,
冒險,德利安古墓,Vorgosh,沃格許,,,
冒險,德利安古墓,Violet,薇歐蕾,,,
冒險,德利安古墓,Ashleigh,艾希莉,,,
冒險,德利安古墓,Lord Kenway,肯威領主,,,
冒險,德利安古墓,Gweldyr,桂迪爾,,,
冒險,德利安古墓,Dunquat,鄧卡特,,,
冒險,德利安古墓,Abbott Loric,洛里克院長,,,
冒險,德利安古墓,Orson,歐森,,,
冒險,德利安古墓,Vaughn,范恩,,,
冒險,德利安古墓,Reeve Rosamund,蘿莎蒙村長,,,
冒險,德利安古墓,Harim,哈里姆,,,
冒險,德利安古墓,Tansy,譚希,,,
冒險,德利安古墓,Mikael,米凱爾,,,
冒險,德利安古墓,Ellery,埃樂莉,,,
冒險,德利安古墓,Percival,波希瓦爾,,,
冒險,德利安古墓,Illwyth,伊薇絲,,,
冒險,德利安古墓,Saberna,莎柏娜,,,
冒險,德利安古墓,Brune,布魯恩,,,
冒險,德利安古墓,Targon,塔岡,,,
冒險,德利安古墓,Mara,瑪拉,,,
冒險,德利安古墓,Boddorff Buckfeather,博多夫·鹿翎,,,
冒險,德利安古墓,Gorek,葛雷克,,,
